klyuch_vina,hozyaistvo,vino,istochnik,shkala,ball,vyborka,vyborka_nizhnyaya_granica,god,konkurs_god,cvet,ogovorka,stranica,sobrano
vincic-grand-fru,Vinčić,Grand Fru,vivino,5,4,119,False,,,,,https://www.vivino.com/w/12606680,2026-08-28
vincic-grasac,Vinčić,Grašac,vivino,5,4.3,41,False,,,,,https://www.vivino.com/w/12606686,2026-08-28
erdevik-omnibus-lector-chardonnay,Erdevik,Omnibus Lector Chardonnay,vivino,5,4.3,816,False,,,,,https://www.vivino.com/w/5027454,2026-08-28
erdevik-grand-trianon,Erdevik,Grand Trianon,vivino,5,4.3,2931,False,,,,,https://www.vivino.com/w/6249992,2026-08-28
erdevik-marlon-delon-cabernet-sauvignon-merlot,Erdevik,Marlon Delon Cabernet Sauvignon - Merlot,vivino,5,4.3,571,False,,,,,https://www.vivino.com/w/8650613,2026-08-28
erdevik-stiflers-mom-shiraz,Erdevik,Stifler's Mom Shiraz,vivino,5,4.3,1359,False,,,,,https://www.vivino.com/w/7149788,2026-08-28
erdevik-trianon,Erdevik,Trianon,vivino,5,4.1,1928,False,,,,,https://www.vivino.com/w/4923678,2026-08-28
erdevik-roza-nostra,Erdevik,Roza Nostra,vivino,5,4,725,False,,,,,https://www.vivino.com/w/4510554,2026-08-28
kovacevic-edicija-s-edition-aurelius,Kovačević,Edicija S Edition Aurelius,vivino,5,4.2,1008,False,,,,,https://www.vivino.com/w/6659296,2026-08-28
kovacevic-edicija-r-chardonnay,Kovačević,Edicija R Chardonnay,vivino,5,4.2,,False,,,,,https://www.vivino.com/wineries/vinarija-kovacevic,2026-08-28
kovacevic-edicija-r-sauvignon,Kovačević,Edicija R Sauvignon,vivino,5,4.1,,False,,,,,https://www.vivino.com/wineries/vinarija-kovacevic,2026-08-28
kovacevic-edicija-s-sauvignon,Kovačević,Edicija S Sauvignon,vivino,5,4.1,,False,,,,,https://www.vivino.com/wineries/vinarija-kovacevic,2026-08-28
kovacevic-aurelius,Kovačević,Aurelius,vivino,5,3.9,3907,False,,,,,https://www.vivino.com/w/1222956,2026-08-28
kovacevic-brut,Kovačević,Brut,vivino,5,3.9,364,False,,,,,https://www.vivino.com/w/1677118,2026-08-28
kovacevic-chardonnay,Kovačević,Chardonnay,vivino,5,3.9,2467,False,,,,,https://www.vivino.com/w/3552720,2026-08-28
kovacevic-sauvignon,Kovačević,Sauvignon,vivino,5,3.9,1183,False,,,,,https://www.vivino.com/w/4016235,2026-08-28
kovacevic-cuvee-blanc,Kovačević,Cuvée Blanc,vivino,5,3.9,238,False,,,,,https://www.vivino.com/w/4133790,2026-08-28
kovacevic-cuvee-piquant,Kovačević,Cuvée Piquant,vivino,5,3.7,494,False,,,,,https://www.vivino.com/w/2793699,2026-08-28
kovacevic-cuvee-rouge,Kovačević,Cuvée Rouge,vivino,5,3.5,222,False,,,,,https://www.vivino.com/w/4016714,2026-08-28
mackov-frajla-rose,Mačkov podrum,Frajla Rosé,vivino,5,3.5,78,False,,,,,https://www.vivino.com/w/2559073,2026-08-28
mackov-camerlot,Mačkov podrum,Camerlot,vivino,5,3.6,55,False,,,,,https://www.vivino.com/w/6261897,2026-08-28
mackov-mirisavi-traminac,Mačkov podrum,Mirisavi Traminac,vivino,5,3.6,88,False,,,,,https://www.vivino.com/w/2684755,2026-08-28
mackov-sauvignon-blanc,Mačkov podrum,Sauvignon Blanc,vivino,5,3.5,34,False,,,,,https://www.vivino.com/w/4451480,2026-08-28
mackov-chardonnay,Mačkov podrum,Chardonnay,vivino,5,3.4,78,False,,,,,https://www.vivino.com/w/4060909,2026-08-28
mackov-incognito,Mačkov podrum,Incognito,vivino,5,3.4,34,False,,,,,https://www.vivino.com/w/1952406,2026-08-28
mackov-merlot,Mačkov podrum,Merlot,vivino,5,3.3,114,False,,,,,https://www.vivino.com/w/1794843,2026-08-28
mackov-portugizer,Mačkov podrum,Portugizer,vivino,5,3,263,False,,,,,https://www.vivino.com/w/3088176,2026-08-28
bikicki-victor,Bikicki,Victor,vivino,5,4,111,False,,,,,https://www.vivino.com/w/11140034,2026-08-28
bikicki-sfera-noir,Bikicki,Sfera Noir,vivino,5,4.1,510,False,,,,,https://www.vivino.com/w/10144475,2026-08-28
bikicki-makana,Bikicki,Makana,vivino,5,4,110,False,,,,,https://www.vivino.com/w/6294565,2026-08-28
bikicki-uncensored,Bikicki,Uncensored,vivino,5,4,640,False,,,,,https://www.vivino.com/w/7240828,2026-08-28
bikicki-lily,Bikicki,Lily,vivino,5,4,158,False,,,,,https://www.vivino.com/w/9397347,2026-08-28
bikicki-nikka,Bikicki,Nikka,vivino,5,4,37,False,,,,,https://www.vivino.com/w/10813854,2026-08-28
bikicki-crna-tamjanika,Bikicki,Crna Tamjanika,vivino,5,3.9,158,False,,,,,https://www.vivino.com/w/6424447,2026-08-28
bikicki-s-o,Bikicki,S/O,vivino,5,3.9,369,False,,,,,https://www.vivino.com/w/5780289,2026-08-28
bikicki-sfera,Bikicki,Sfera,vivino,5,3.9,308,False,,,,,https://www.vivino.com/w/8558502,2026-08-28
bikicki-cu,Bikicki,Cu,vivino,5,3.8,335,False,,,,,https://www.vivino.com/w/7136339,2026-08-28
bikicki-pinotte,Bikicki,Pinotte,vivino,5,3.8,363,False,,,,,https://www.vivino.com/w/5361835,2026-08-28
durdic-probus,Vinarija Djurdjic,Probus,vivino,5,4.1,107,False,,,,,https://www.vivino.com/w/10421142,2026-08-28
durdic-cabernet-franc,Vinarija Djurdjic,Cabernet Franc,vivino,5,4,172,False,,,,,https://www.vivino.com/w/6766243,2026-08-28
durdic-traminac,Vinarija Djurdjic,Traminac,vivino,5,3.9,43,False,,,,,https://www.vivino.com/w/10565367,2026-08-28
durdic-simonida-mlada,Vinarija Djurdjic,Simonida Mlada,vivino,5,3.9,48,False,,,,,https://www.vivino.com/w/9818841,2026-08-28
durdic-neoplanta,Vinarija Djurdjic,Neoplanta,vivino,5,3.9,79,False,,,,,https://www.vivino.com/w/9721205,2026-08-28
durdic-crni-vitez-bermet,Vinarija Djurdjic,Crni Vitez Bermet,vivino,5,3.8,30,False,,,,,https://www.vivino.com/w/6605248,2026-08-28
durdic-sauvignon-blanc,Vinarija Djurdjic,Sauvignon Blanc,vivino,5,3.8,53,False,,,,,https://www.vivino.com/w/10664093,2026-08-28
veritas-cukovic-momentum-cabernet-sauvignon,Veritas Ćuković,Momentum Cabernet Sauvignon,vivino,5,4.4,83,False,,,,,https://www.vivino.com/w/3830803,2026-08-28
veritas-cukovic-cuk-cuvee-dry-red,Veritas Ćuković,Ćuk Cuvée Dry Red,vivino,5,4,111,False,,,,,https://www.vivino.com/w/10703994,2026-08-28
veritas-cukovic-bela-hormonya,Veritas Ćuković,Bela Hormonya,vivino,5,4,80,False,,,,,https://www.vivino.com/w/10829782,2026-08-28
molovin-inat-traminac,Molovin,Inat Traminac,vivino,5,4.1,53,False,,,,,https://www.vivino.com/w/10799090,2026-08-28
molovin-inat-frankovka,Molovin,Inat Frankovka,vivino,5,3.9,175,False,,,,,https://www.vivino.com/w/10005825,2026-08-28
molovin-poligraf-cuvee-crveno,Molovin,Poligraf Cuvée Crveno,vivino,5,3.8,45,False,,,,,https://www.vivino.com/w/11063644,2026-08-28
trivanovic-reserve-shiraz,Trivanović,Reserve Shiraz,vivino,5,3.9,161,False,,,,,https://www.vivino.com/w/7684060,2026-08-28
trivanovic-pinot-grigio,Trivanović,Pinot Grigio,vivino,5,3.8,210,False,,,,,https://www.vivino.com/w/5899346,2026-08-28
trivanovic-reserve-cabernet-sauvignon,Trivanović,Reserve Cabernet Sauvignon,vivino,5,3.8,117,False,,,,,https://www.vivino.com/w/7970950,2026-08-28
trivanovic-optimus,Trivanović,Optimus,vivino,5,3.7,329,False,,,,,https://www.vivino.com/w/7557557,2026-08-28
trivanovic-chardonnay,Trivanović,Chardonnay,vivino,5,3.7,90,False,,,,,https://www.vivino.com/w/6447316,2026-08-28
trivanovic-lex-rose,Trivanović,Lex Rosé,vivino,5,3.7,62,False,,,,,https://www.vivino.com/w/9947579,2026-08-28
trivanovic-sauvignon-blanc,Trivanović,Sauvignon Blanc,vivino,5,3.5,29,False,,,,,https://www.vivino.com/w/2894010,2026-08-28
trivanovic-cabernet-sauvignon,Trivanović,Cabernet Sauvignon,vivino,5,3.4,108,False,,,,,https://www.vivino.com/w/5630060,2026-08-28
navip-riesling-fruska-gora,Navip,Riesling Fruška Gora,vivino,5,3.1,56,False,,,,,https://www.vivino.com/w/1410746,2026-08-28
kis-kisov-bermet-slatko,Kiš,Kišov Bermet Slatko,vivino,5,4.1,128,False,,,,,https://www.vivino.com/w/2613003,2026-08-28
kis-kisov-bermet-belo,Kiš,Kišov Bermet Belo,vivino,5,4.2,129,False,,,,,https://www.vivino.com/w/10388855,2026-08-28
kis-kisov-bermet-crveni,Kiš,Kišov Bermet Crveni,vivino,5,4.1,539,False,,,,,https://www.vivino.com/w/1496981,2026-08-28
kis-merlot,Kiš,Merlot,vivino,5,4,122,False,,,,,https://www.vivino.com/w/2234108,2026-08-28
kis-portugizer,Kiš,Portugizer,vivino,5,3.9,152,False,,,,,https://www.vivino.com/w/1611208,2026-08-28
kis-verus-grasac-beli,Kiš,Verus Grašac Beli,vivino,5,4,86,False,,,,,https://www.vivino.com/w/12515658,2026-08-28
kis-misterija-polusuva,Kiš,Misterija Polusuva,vivino,5,3.9,94,False,,,,,https://www.vivino.com/w/2026229,2026-08-28
kis-misterija-kisova,Kiš,Misterija Kišova,vivino,5,3.8,254,False,,,,,https://www.vivino.com/w/2048217,2026-08-28
kis-kisov-rose,Kiš,Kišov Rosé,vivino,5,3.6,105,False,,,,,https://www.vivino.com/w/1952001,2026-08-28
kis-grasac,Kiš,Grašac,vivino,5,3.7,173,False,,,,,https://www.vivino.com/w/3191413,2026-08-28
dukay-sagmeister-furmint,Dukay-Sagmeister,Furmint,vivino,5,3.7,71,False,,,,,https://www.vivino.com/w/7319780,2026-08-28
dukay-sagmeister-kanias-pinot-noir,Dukay-Sagmeister,Kanias Pinot Noir,vivino,5,4,203,False,,,,,https://www.vivino.com/w/2270798,2026-08-28
dukay-sagmeister-kanias-kadarka,Dukay-Sagmeister,Kanias Kadarka,vivino,5,4.2,89,False,,,,,https://www.vivino.com/w/7821148,2026-08-28
dukay-sagmeister-kanias-furmint,Dukay-Sagmeister,Kanias Furmint,vivino,5,4.1,286,False,,,,,https://www.vivino.com/w/7195367,2026-08-28
dukay-sagmeister-breton-cabernet-franc,Dukay-Sagmeister,Breton Cabernet Franc,vivino,5,4.1,99,False,,,,,https://www.vivino.com/w/9471003,2026-08-28
dukay-sagmeister-zero-kadarka,Dukay-Sagmeister,Zero Kadarka,vivino,5,4,43,False,,,,,https://www.vivino.com/w/10929626,2026-08-28
dukay-sagmeister-szigeti-furmint,Dukay-Sagmeister,Szigeti Furmint,vivino,5,4,52,False,,,,,https://www.vivino.com/w/6087984,2026-08-28
dukay-sagmeister-burgundac-crni-pinot-noir,Dukay-Sagmeister,Burgundac Crni Pinot Noir,vivino,5,3.7,50,False,,,,,https://www.vivino.com/w/6795070,2026-08-28
vinum-bermet,Vinum,Bermet,vivino,5,4,35,False,,,,,https://www.vivino.com/w/10279695,2026-08-28
vinum-grasac-26a,Vinum,Grašac 26a,vivino,5,4,132,False,,,,,https://www.vivino.com/w/9988589,2026-08-28
vinum-mustra-bel-vino,Vinum,Mustra Bel Vino,vivino,5,4,159,False,,,,,https://www.vivino.com/w/6991611,2026-08-28
vinum-grasac-beli,Vinum,Grašac Beli,vivino,5,3.9,196,False,,,,,https://www.vivino.com/w/7970964,2026-08-28
vinum-pinole,Vinum,Pinole,vivino,5,3.9,50,False,,,,,https://www.vivino.com/w/7961633,2026-08-28
vinum-dina-grasac-beli-brut,Vinum,Dina Grašac Beli Brut,vivino,5,3.9,86,False,,,,,https://www.vivino.com/w/10105163,2026-08-28
vinum-bermut,Vinum,Bermut,vivino,5,3.9,25,False,,,,,https://www.vivino.com/w/8016536,2026-08-28
vinum-frankovka,Vinum,Frankovka,vivino,5,3.9,167,False,,,,,https://www.vivino.com/w/2389260,2026-08-28
vinum-chardonnay,Vinum,Chardonnay,vivino,5,3.8,121,False,,,,,https://www.vivino.com/w/6237924,2026-08-28
vinum-rose,Vinum,Rosé,vivino,5,3.8,51,False,,,,,https://www.vivino.com/w/8382999,2026-08-28
zvonko-bogdan-icon-campana-rubimus,Zvonko Bogdan,Icon Campana Rubimus,vivino,5,4.3,224,False,,,,,https://www.vivino.com/w/4250577,2026-08-28
zvonko-bogdan-merlot,Zvonko Bogdan,Merlot,vivino,5,4.1,121,False,,,,,https://www.vivino.com/w/2090208,2026-08-28
zvonko-bogdan-cuvee-no1,Zvonko Bogdan,Cuvée No.1,vivino,5,4.1,2750,False,,,,,https://www.vivino.com/w/1284416,2026-08-28
zvonko-bogdan-icon-campana-albus,Zvonko Bogdan,Icon Campana Albus,vivino,5,4.1,218,False,,,,,https://www.vivino.com/w/3360663,2026-08-28
zvonko-bogdan-chardonnay,Zvonko Bogdan,Chardonnay,vivino,5,4,649,False,,,,,https://www.vivino.com/w/2634793,2026-08-28
zvonko-bogdan-nebo-tamjanika,Zvonko Bogdan,Nebo Tamjanika,vivino,5,4.0,,False,,,,,https://www.vivino.com/wineries/zvonko-bogdan,2026-08-28
zvonko-bogdan-rose-sec,Zvonko Bogdan,Rosé Sec,vivino,5,4,410,False,,,,,https://www.vivino.com/w/5629966,2026-08-28
zvonko-bogdan-eclater-blanc-de-blancs,Zvonko Bogdan,Éclater Blanc de Blancs,vivino,5,3.9,73,False,,,,,https://www.vivino.com/w/12148267,2026-08-28
zvonko-bogdan-8-tamburasa,Zvonko Bogdan,8 Tamburaša,vivino,5,3.9,1544,False,,,,,https://www.vivino.com/w/2252838,2026-08-28
zvonko-bogdan-sauvignon-blanc,Zvonko Bogdan,Sauvignon Blanc,vivino,5,3.8,1054,False,,,,,https://www.vivino.com/w/1279711,2026-08-28
maurer-kadarka-gravitation,Maurer,Kadarka Gravitation,vivino,5,4.3,41,False,,,,,https://www.vivino.com/w/10200255,2026-08-28
maurer-kadarka-nagy-krisztus,Maurer,Kadarka Nagy-Krisztus,vivino,5,4.2,30,False,,,,,https://www.vivino.com/w/7334350,2026-08-28
maurer-oszkar-babba,Maurer,Oszkar Babba,vivino,5,4.2,533,False,,,,,https://www.vivino.com/w/8649495,2026-08-28
maurer-oszkar-karom,Maurer,Oszkar Karom,vivino,5,4.1,194,False,,,,,https://www.vivino.com/w/9806063,2026-08-28
maurer-sott,Maurer,Sott,vivino,5,4.1,35,False,,,,,https://www.vivino.com/w/7492429,2026-08-28
maurer-tamjanika,Maurer,Tamjanika,vivino,5,4.1,324,False,,,,,https://www.vivino.com/w/8873266,2026-08-28
tonkovic-rapsodija-kadarka,Tonković,Rapsodija Kadarka,vivino,5,3.9,341,False,,,,,https://www.vivino.com/w/3208226,2026-08-28
tonkovic-fantazija-kadarka,Tonković,Fantazija Kadarka,vivino,5,3.8,888,False,,,,,https://www.vivino.com/w/2879703,2026-08-28
tonkovic-kadarka-rose,Tonković,Kadarka Rosé,vivino,5,3.7,136,False,,,,,https://www.vivino.com/w/5630095,2026-08-28
tonkovic-allegro-kadarka-blanc-de-noir,Tonković,Allegro Kadarka Blanc de Noir,vivino,5,3.7,121,False,,,,,https://www.vivino.com/w/8460405,2026-08-28
vrsacki-banatski-rizling,Vršački Vinogradi,Banatski Rizling,vivino,5,3.3,299,False,,,,,https://www.vivino.com/w/1161749,2026-08-28
draskovic-muskat-otonel,Vinarija Drašković,Muskat Otonel,vivino,5,4.1,317,False,,,,,https://www.vivino.com/w/6736174,2026-08-28
draskovic-chardonnay,Vinarija Drašković,Chardonnay,vivino,5,3.8,71,False,,,,,https://www.vivino.com/w/6907262,2026-08-28
draskovic-horizont-chardonnay,Vinarija Drašković,Horizont Chardonnay,vivino,5,3.7,36,False,,,,,https://www.vivino.com/w/7727316,2026-08-28
draskovic-mahago,Vinarija Drašković,Mahago,vivino,5,3.7,61,False,,,,,https://www.vivino.com/w/8078711,2026-08-28
draskovic-divlja-ruza-rose,Vinarija Drašković,Divlja Ruža Rosé,vivino,5,3.7,30,False,,,,,https://www.vivino.com/w/10734401,2026-08-28
draskovic-ruza-vetrova-muskat-otonel,Vinarija Drašković,Ruža Vetrova Muskat Otonel,vivino,5,3.8,100,False,,,,,https://www.vivino.com/w/7831352,2026-08-28
draskovic-beli-pinot,Vinarija Drašković,Beli Pinot,vivino,5,3.6,25,False,,,,,https://www.vivino.com/w/9763720,2026-08-28
draskovic-triptih,Vinarija Drašković,Triptih,vivino,5,3.5,47,False,,,,,https://www.vivino.com/w/8021105,2026-08-28
draskovic-rose,Vinarija Drašković,Rosé,vivino,5,3.5,65,False,,,,,https://www.vivino.com/w/7701441,2026-08-28
radovanovic-reserve-special-cabernet-sauvignon,Radovanović,Réserve Special Cabernet Sauvignon,vivino,5,4.4,46,False,,,,,https://www.vivino.com/w/6672388,2026-08-28
radovanovic-reserve-cabernet-sauvignon,Radovanović,Rèserve Cabernet Sauvignon,vivino,5,4.3,2043,False,,,,,https://www.vivino.com/w/2408723,2026-08-28
radovanovic-grand-reserve-cabernet-sauvignon,Radovanović,Grand Reserve Cabernet Sauvignon,vivino,5,4.3,47,False,,,,,https://www.vivino.com/w/12320828,2026-08-28
radovanovic-cabernet-sauvignon,Radovanović,Cabernet Sauvignon,vivino,5,4.3,134,False,,,,,https://www.vivino.com/w/8633379,2026-08-28
radovanovic-pino-sivi,Radovanović,Pino Sivi,vivino,5,4.1,103,False,,,,,https://www.vivino.com/w/6172073,2026-08-28
radovanovic-cabernet-sauvignon-classique,Radovanović,Cabernet Sauvignon Classique,vivino,5,3.8,1678,False,,,,,https://www.vivino.com/w/1957772,2026-08-28
radovanovic-sovinjon,Radovanović,Sovinjon,vivino,5,3.3,32,False,,,,,https://www.vivino.com/w/1705006,2026-08-28
aleksandrovic-rodoslov-reserve,Aleksandrović,Rodoslov Reserve,vivino,5,4.3,43,False,,,,,https://www.vivino.com/w/1646843,2026-08-28
aleksandrovic-trijumf-gold,Aleksandrović,Trijumf Gold,vivino,5,4.2,987,False,,,,,https://www.vivino.com/w/1758072,2026-08-28
aleksandrovic-prokupac,Aleksandrović,Prokupac,vivino,5,4.2,1166,False,,,,,https://www.vivino.com/w/7380637,2026-08-28
aleksandrovic-vizija-selection,Aleksandrović,Vizija Selection,vivino,5,4.1,556,False,,,,,https://www.vivino.com/w/6645033,2026-08-28
aleksandrovic-trijumf-selection,Aleksandrović,Trijumf Selection,vivino,5,4.1,2286,False,,,,,https://www.vivino.com/w/1171282,2026-08-28
aleksandrovic-trijumf-noir-brut,Aleksandrović,Trijumf Noir Brut,vivino,5,4.1,66,False,,,,,https://www.vivino.com/w/10319050,2026-08-28
aleksandrovic-harizma-selection,Aleksandrović,Harizma Selection,vivino,5,4,1176,False,,,,,https://www.vivino.com/w/1277072,2026-08-28
tarpos-lipar-sauvignon-blanc,Tarpoš,Lipar Sauvignon Blanc,vivino,5,4.1,30,False,,,,,https://www.vivino.com/w/4868901,2026-08-28
tarpos-cabernet-sauvignon,Tarpoš,Cabernet Sauvignon,vivino,5,4.1,80,False,,,,,https://www.vivino.com/w/11163471,2026-08-28
tarpos-sauvignon-blanc,Tarpoš,Sauvignon Blanc,vivino,5,4.1,85,False,,,,,https://www.vivino.com/w/10813618,2026-08-28
tarpos-1804-selekcija,Tarpoš,1804 Selekcija,vivino,5,4,79,False,,,,,https://www.vivino.com/w/5941871,2026-08-28
tarpos-tarpos-merlot,Tarpoš,Tarpos Merlot,vivino,5,4.0,47,False,,,,,https://www.vivino.com/w/5523966,2026-08-28
tarpos-merlot,Tarpoš,Merlot,vivino,5,4,138,False,,,,,https://www.vivino.com/w/4986010,2026-08-28
tarpos-cuvee-beli,Tarpoš,Cuvée Beli,vivino,5,3.8,39,False,,,,,https://www.vivino.com/w/10824209,2026-08-28
tarpos-tamjanika,Tarpoš,Tamjanika,vivino,5,3.9,86,False,,,,,https://www.vivino.com/w/10996842,2026-08-28
tarpos-menuet-chardonnay,Tarpoš,Menuet Chardonnay,vivino,5,3.9,54,False,,,,,https://www.vivino.com/w/9611738,2026-08-28
tarpos-cuvee,Tarpoš,Cuvée,vivino,5,3.9,36,False,,,,,https://www.vivino.com/w/4648145,2026-08-28
despotika-dodir-muscat-ottonel-tamjanika,Despotika,Dodir Muscat Ottonel-Tamjanika,vivino,5,4.2,460,False,,,,,https://www.vivino.com/wineries/despotika-despotika,2026-08-28
despotika-morava-orange,Despotika,Morava Orange,vivino,5,4.1,73,False,,,,,https://www.vivino.com/wineries/despotika-despotika,2026-08-28
despotika-nemir-kaberne-sovinjon-prokupac-roze-nemir-cabernet-sauvignon-prokupac-rose,Despotika,Немир Каберне Совињон - Прокупац Розе (Nemir Cabernet Sauvignon - Prokupac Rosé),vivino,5,4,152,False,,,,,https://www.vivino.com/w/6587893,2026-08-28
despotika-od-sorte-morava-from-the-morava-variety,Despotika,Од Сорте Морава (From The Morava Variety),vivino,5,4,432,False,,,,,https://www.vivino.com/w/3114911,2026-08-28
arsenijevic-cabernet-sauvignon-limited-edition,Arsenijević,Cabernet Sauvignon Limited Edition,vivino,5,4.2,166,False,,,,,https://www.vivino.com/w/8390439,2026-08-28
temet-three-morave-rezerva-tri-morave-rezerva,Temet,Three Morave Rezerva (Три Mораве Резерва),vivino,5,4.4,113,False,,,,,https://www.vivino.com/w/8151408,2026-08-28
temet-dobra-godina,Temet,Dobra Godina,vivino,5,4.3,28,False,,,,,https://www.vivino.com/w/5919358,2026-08-28
temet-three-bele,Temet,Three Bele,vivino,5,4.1,43,False,,,,,https://www.vivino.com/wineries/temet,2026-08-28
temet-tri-morave-white-rezerva,Temet,Tri Morave White Rezerva,vivino,5,4.1,52,False,,,,,https://www.vivino.com/w/11675491,2026-08-28
temet-ergo-red,Temet,Ergo Red,vivino,5,4,413,False,,,,,https://www.vivino.com/w/5529271,2026-08-28
temet-tri-morave,Temet,Tri Morave,vivino,5,4,712,False,,,,,https://www.vivino.com/w/7652219,2026-08-28
temet-ergo-white,Temet,Ergo White,vivino,5,4,652,False,,,,,https://www.vivino.com/w/1794098,2026-08-28
temet-prokupac-iii,Temet,Prokupac III,vivino,5,3.9,223,False,,,,,https://www.vivino.com/w/13134730,2026-08-28
ivanovic-no-1-2,Ivanović,No 1/2,vivino,5,4.3,336,False,,,,,https://www.vivino.com/w/2364103,2026-08-28
ivanovic-no-3-4-tamjanika,Ivanović,No 3/4 Tamjanika,vivino,5,4.2,89,False,,,,,https://www.vivino.com/w/7251845,2026-08-28
ivanovic-tamjanika,Ivanović,Tamjanika,vivino,5,3.9,693,False,,,,,https://www.vivino.com/w/1740725,2026-08-28
ivanovic-prokupac,Ivanović,Prokupac,vivino,5,3.9,1540,False,,,,,https://www.vivino.com/w/1982154,2026-08-28
jovac-single-vineyard-stella-noir,Vinarija Jovac,Single Vineyard Stella Noir,vivino,5,4.3,134,False,,,,,https://www.vivino.com/w/11755521,2026-08-28
jovac-single-vineyard-selection-chardonnay,Vinarija Jovac,Single Vineyard Selection Chardonnay,vivino,5,4.3,39,False,,,,,https://www.vivino.com/w/9833124,2026-08-28
jovac-single-vineyard-selection-tamjanika,Vinarija Jovac,Single Vineyard Selection Tamjanika,vivino,5,4.2,123,False,,,,,https://www.vivino.com/w/10263439,2026-08-28
jovac-single-vineyard-selection-sauvignon-blanc,Vinarija Jovac,Single Vineyard Selection Sauvignon Blanc,vivino,5,4,50,False,,,,,https://www.vivino.com/w/10472538,2026-08-28
matalj-kremen-kamen-cabernet-sauvignon,Matalj,Kremen Kamen Cabernet Sauvignon,vivino,5,4.5,865,False,,,,,https://www.vivino.com/w/2115277,2026-08-28
matalj-zemna-reserva,Matalj,Zemna Reserva,vivino,5,4.2,142,False,,,,,https://www.vivino.com/w/12146741,2026-08-28
matalj-kremen-cabernet-merlot,Matalj,Kremen Cabernet - Merlot,vivino,5,4.1,140,False,,,,,https://www.vivino.com/w/12313157,2026-08-28
matalj-zacinak-bukovski,Matalj,Začinak Bukovski,vivino,5,4.1,118,False,,,,,https://www.vivino.com/w/7282084,2026-08-28
matalj-kremen-cabernet-sauvignon,Matalj,Kremen Cabernet Sauvignon,vivino,5,4,1447,False,,,,,https://www.vivino.com/w/1420528,2026-08-28
matalj-cuvee-bukovski,Matalj,Cuvée Bukovski,vivino,5,4,203,False,,,,,https://www.vivino.com/w/10610733,2026-08-28
matalj-crna-tamjanika,Matalj,Crna Tamjanika,vivino,5,4,273,False,,,,,https://www.vivino.com/w/4675917,2026-08-28
matalj-kremen-kremenjaca,Matalj,Kremen Kremenjača,vivino,5,4,132,False,,,,,https://www.vivino.com/w/13198817,2026-08-28
matalj-bagrina-bukovska,Matalj,Bagrina Bukovska,vivino,5,3.9,118,False,,,,,https://www.vivino.com/w/6970644,2026-08-28
raj-crna-tamjanika,Raj,Crna Tamjanika,vivino,5,4,113,False,,,,,https://www.vivino.com/w/4830021,2026-08-28
raj-bela-tamjanika,Raj,Bela Tamjanika,vivino,5,3.7,53,False,,,,,https://www.vivino.com/w/7281899,2026-08-28
toplicki-gvozdeni-puk-ireno-gvozdeni-puk-ryeno,Vinarija Toplički Vinogradi,Гвоздени Пук Ирьено (Gvozdeni Puk Ryeno),vivino,5,4.4,48,False,,,,,https://www.vivino.com/w/9390075,2026-08-28
toplicki-tribus-villa-sauvignon-blanc,Vinarija Toplički Vinogradi,Tribus Villa Sauvignon Blanc,vivino,5,3.8,57,False,,,,,https://www.vivino.com/w/2825953,2026-08-28
